Type,Other_Type,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Total,Generation,Legendary
91.0,38.0,45.0,49.0,49.0,65.0,65.0,45.0,318.0,1.0,0.0
91.0,38.0,60.0,62.0,63.0,80.0,80.0,60.0,405.0,1.0,0.0
91.0,38.0,80.0,82.0,,100.0,100.0,80.0,525.0,1.0,
91.0,38.0,80.0,100.0,123.0,122.0,120.0,,625.0,1.0,
65.0,,39.0,52.0,43.0,60.0,50.0,65.0,309.0,,
65.0,492.0,58.0,,,80.0,65.0,80.0,,,0.0
65.0,112.0,78.0,84.0,78.0,109.0,,100.0,534.0,1.0,0.0
65.0,,78.0,130.0,111.0,,85.0,100.0,634.0,1.0,0.0
65.0,,,104.0,78.0,159.0,115.0,,634.0,1.0,0.0
134.0,492.0,44.0,48.0,65.0,50.0,64.0,43.0,314.0,1.0,0.0
134.0,492.0,,63.0,80.0,65.0,80.0,58.0,405.0,1.0,0.0
134.0,492.0,,83.0,100.0,85.0,105.0,78.0,530.0,1.0,0.0
,492.0,79.0,103.0,120.0,135.0,115.0,78.0,630.0,1.0,0.0
,492.0,45.0,30.0,35.0,20.0,20.0,45.0,195.0,1.0,0.0
81.0,492.0,50.0,20.0,55.0,25.0,25.0,30.0,205.0,1.0,0.0
81.0,112.0,60.0,45.0,50.0,,80.0,70.0,395.0,,0.0
81.0,38.0,40.0,35.0,30.0,20.0,,,195.0,1.0,0.0
81.0,38.0,45.0,25.0,,25.0,,35.0,205.0,,0.0
81.0,38.0,,90.0,40.0,,80.0,75.0,395.0,1.0,0.0
81.0,38.0,65.0,150.0,40.0,15.0,80.0,,495.0,1.0,0.0
,112.0,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.0,0.0
115.0,,63.0,60.0,55.0,50.0,50.0,71.0,349.0,1.0,0.0
115.0,112.0,83.0,80.0,75.0,70.0,70.0,,479.0,1.0,0.0
,112.0,83.0,80.0,80.0,135.0,80.0,,579.0,,0.0
115.0,492.0,30.0,56.0,35.0,25.0,35.0,72.0,,1.0,0.0
,11.0,30.0,56.0,35.0,25.0,35.0,72.0,253.0,1.0,0.0
115.0,492.0,55.0,81.0,60.0,50.0,70.0,,413.0,1.0,0.0
46.0,11.0,75.0,71.0,70.0,,80.0,77.0,,1.0,0.0
115.0,112.0,40.0,60.0,,,31.0,70.0,,,0.0
115.0,112.0,65.0,,65.0,61.0,61.0,100.0,442.0,1.0,
41.0,492.0,35.0,60.0,,40.0,54.0,55.0,288.0,1.0,0.0
41.0,492.0,60.0,95.0,69.0,65.0,79.0,80.0,448.0,1.0,0.0
62.0,492.0,35.0,55.0,,50.0,50.0,90.0,320.0,1.0,0.0
62.0,,45.0,80.0,50.0,75.0,60.0,120.0,430.0,1.0,0.0
62.0,492.0,60.0,90.0,55.0,90.0,80.0,110.0,485.0,1.0,0.0
62.0,,60.0,85.0,,95.0,85.0,110.0,485.0,1.0,
41.0,492.0,50.0,,85.0,20.0,30.0,40.0,300.0,1.0,0.0
,35.0,50.0,75.0,90.0,10.0,35.0,40.0,300.0,1.0,0.0
41.0,492.0,75.0,100.0,110.0,45.0,,65.0,450.0,,0.0
37.0,35.0,75.0,100.0,120.0,25.0,65.0,65.0,,1.0,0.0
41.0,492.0,,47.0,,40.0,40.0,41.0,275.0,1.0,
41.0,492.0,70.0,62.0,,55.0,55.0,,365.0,1.0,0.0
41.0,39.0,,92.0,87.0,75.0,85.0,,505.0,1.0,0.0
41.0,492.0,46.0,57.0,40.0,40.0,40.0,50.0,273.0,1.0,0.0
41.0,492.0,61.0,72.0,57.0,55.0,55.0,65.0,365.0,1.0,0.0
41.0,39.0,81.0,102.0,77.0,85.0,75.0,85.0,,1.0,0.0
22.0,492.0,70.0,45.0,48.0,60.0,65.0,35.0,323.0,1.0,0.0
22.0,492.0,95.0,70.0,73.0,95.0,90.0,60.0,483.0,1.0,0.0
65.0,492.0,38.0,41.0,,,,65.0,299.0,1.0,0.0
37.0,,38.0,41.0,40.0,50.0,,65.0,299.0,1.0,0.0
65.0,492.0,73.0,76.0,75.0,81.0,100.0,100.0,,1.0,0.0
37.0,41.0,73.0,67.0,75.0,81.0,,109.0,505.0,1.0,0.0
115.0,41.0,115.0,45.0,20.0,45.0,25.0,20.0,270.0,,0.0
115.0,41.0,140.0,70.0,45.0,85.0,50.0,,435.0,1.0,0.0
41.0,112.0,40.0,45.0,35.0,30.0,40.0,55.0,245.0,1.0,
41.0,112.0,75.0,80.0,70.0,65.0,75.0,90.0,455.0,1.0,0.0
91.0,,,50.0,55.0,75.0,65.0,30.0,320.0,1.0,0.0
91.0,38.0,60.0,65.0,70.0,85.0,75.0,40.0,395.0,1.0,0.0
91.0,38.0,,80.0,85.0,110.0,,50.0,490.0,1.0,
81.0,28.0,,70.0,55.0,45.0,55.0,25.0,285.0,1.0,0.0
81.0,28.0,60.0,,,60.0,80.0,,405.0,1.0,0.0
81.0,38.0,60.0,55.0,50.0,40.0,55.0,45.0,305.0,1.0,0.0
81.0,38.0,70.0,,60.0,90.0,75.0,90.0,450.0,1.0,0.0
41.0,492.0,10.0,55.0,,35.0,45.0,95.0,265.0,1.0,0.0
,,10.0,55.0,30.0,35.0,45.0,,265.0,1.0,0.0
41.0,492.0,35.0,100.0,50.0,50.0,70.0,120.0,425.0,1.0,0.0
41.0,35.0,35.0,100.0,60.0,50.0,70.0,110.0,425.0,1.0,0.0
115.0,492.0,40.0,45.0,35.0,40.0,40.0,,290.0,1.0,0.0
46.0,492.0,40.0,35.0,35.0,50.0,40.0,90.0,290.0,,0.0
,,,65.0,55.0,40.0,40.0,40.0,290.0,1.0,0.0
115.0,492.0,65.0,70.0,60.0,65.0,65.0,115.0,440.0,1.0,0.0
46.0,492.0,65.0,60.0,60.0,75.0,65.0,115.0,440.0,1.0,0.0
134.0,,50.0,,48.0,65.0,50.0,55.0,320.0,1.0,0.0
134.0,492.0,80.0,82.0,78.0,95.0,80.0,85.0,500.0,1.0,
,492.0,40.0,80.0,35.0,35.0,45.0,70.0,305.0,1.0,0.0
42.0,492.0,65.0,105.0,60.0,60.0,70.0,95.0,455.0,1.0,
65.0,492.0,55.0,70.0,45.0,70.0,50.0,60.0,350.0,1.0,0.0
65.0,492.0,,110.0,80.0,100.0,80.0,95.0,,1.0,0.0
134.0,492.0,,50.0,40.0,40.0,,90.0,,1.0,
,492.0,65.0,65.0,65.0,50.0,50.0,90.0,,1.0,0.0
134.0,32.0,90.0,95.0,95.0,70.0,90.0,70.0,510.0,1.0,0.0
81.0,492.0,25.0,20.0,15.0,105.0,55.0,90.0,310.0,,0.0
81.0,492.0,40.0,35.0,30.0,120.0,70.0,105.0,400.0,1.0,0.0
81.0,492.0,55.0,,45.0,135.0,95.0,120.0,500.0,1.0,0.0
,492.0,,50.0,,175.0,105.0,150.0,,1.0,0.0
42.0,492.0,70.0,80.0,50.0,35.0,35.0,35.0,,1.0,0.0
42.0,,80.0,100.0,,50.0,60.0,45.0,405.0,1.0,0.0
42.0,492.0,90.0,130.0,80.0,65.0,85.0,55.0,505.0,1.0,0.0
91.0,38.0,50.0,75.0,35.0,70.0,30.0,40.0,300.0,1.0,0.0
91.0,38.0,65.0,90.0,,,45.0,55.0,390.0,1.0,0.0
91.0,38.0,80.0,105.0,65.0,100.0,70.0,70.0,490.0,1.0,
134.0,,40.0,40.0,35.0,50.0,100.0,70.0,335.0,1.0,0.0
134.0,38.0,80.0,70.0,65.0,80.0,120.0,100.0,515.0,1.0,0.0
60.0,39.0,,80.0,100.0,30.0,,20.0,300.0,1.0,0.0
60.0,11.0,40.0,80.0,100.0,30.0,30.0,20.0,300.0,,0.0
60.0,39.0,55.0,95.0,,,,35.0,390.0,1.0,0.0
60.0,11.0,55.0,95.0,115.0,45.0,45.0,35.0,390.0,1.0,0.0
60.0,39.0,80.0,120.0,130.0,55.0,65.0,45.0,495.0,,0.0
60.0,11.0,80.0,120.0,130.0,55.0,65.0,45.0,495.0,1.0,0.0
65.0,492.0,50.0,85.0,55.0,65.0,65.0,90.0,410.0,1.0,0.0
81.0,492.0,50.0,85.0,55.0,65.0,65.0,90.0,410.0,1.0,0.0
65.0,492.0,65.0,100.0,70.0,80.0,80.0,105.0,500.0,1.0,0.0
81.0,41.0,65.0,,70.0,80.0,,105.0,500.0,1.0,0.0
134.0,40.0,90.0,65.0,65.0,40.0,40.0,,315.0,1.0,0.0
81.0,492.0,90.0,65.0,65.0,40.0,,15.0,315.0,1.0,0.0
,40.0,95.0,75.0,110.0,100.0,80.0,30.0,490.0,,0.0
,40.0,95.0,75.0,180.0,130.0,80.0,30.0,,1.0,0.0
41.0,40.0,95.0,100.0,95.0,100.0,70.0,30.0,490.0,,0.0
62.0,35.0,25.0,35.0,70.0,95.0,55.0,45.0,325.0,,0.0
62.0,35.0,50.0,60.0,95.0,120.0,70.0,70.0,465.0,1.0,0.0
115.0,112.0,52.0,90.0,55.0,58.0,62.0,60.0,377.0,1.0,0.0
42.0,,52.0,95.0,55.0,58.0,62.0,55.0,377.0,1.0,0.0
115.0,112.0,35.0,85.0,45.0,35.0,35.0,75.0,310.0,1.0,0.0
115.0,,60.0,110.0,70.0,60.0,60.0,110.0,,1.0,0.0
134.0,492.0,65.0,45.0,55.0,45.0,70.0,,325.0,1.0,
134.0,20.0,90.0,70.0,80.0,70.0,95.0,,475.0,1.0,0.0
41.0,492.0,80.0,,50.0,40.0,50.0,,325.0,1.0,0.0
41.0,27.0,80.0,80.0,50.0,40.0,50.0,25.0,325.0,1.0,0.0
41.0,492.0,105.0,105.0,75.0,65.0,100.0,50.0,,1.0,
41.0,27.0,105.0,105.0,75.0,,100.0,50.0,500.0,1.0,0.0
134.0,,30.0,65.0,100.0,45.0,25.0,,305.0,1.0,0.0
134.0,,50.0,,180.0,85.0,45.0,70.0,525.0,,0.0
42.0,38.0,30.0,35.0,30.0,100.0,35.0,80.0,310.0,1.0,0.0
42.0,38.0,45.0,50.0,45.0,115.0,55.0,95.0,405.0,1.0,0.0
42.0,38.0,60.0,65.0,60.0,130.0,75.0,110.0,500.0,1.0,0.0
42.0,38.0,60.0,65.0,80.0,170.0,,130.0,600.0,1.0,0.0
60.0,39.0,,45.0,160.0,30.0,45.0,,385.0,1.0,
81.0,492.0,60.0,48.0,45.0,,90.0,42.0,328.0,,0.0
,492.0,,,70.0,73.0,115.0,67.0,,1.0,0.0
134.0,492.0,30.0,105.0,90.0,25.0,25.0,50.0,325.0,1.0,
134.0,492.0,55.0,130.0,115.0,50.0,50.0,,475.0,1.0,0.0
62.0,492.0,40.0,30.0,50.0,55.0,55.0,100.0,330.0,1.0,0.0
62.0,492.0,60.0,50.0,,80.0,80.0,150.0,490.0,1.0,0.0
91.0,40.0,60.0,40.0,80.0,,45.0,40.0,325.0,1.0,0.0
91.0,40.0,95.0,95.0,85.0,125.0,75.0,55.0,530.0,1.0,0.0
91.0,,95.0,105.0,85.0,125.0,75.0,45.0,530.0,1.0,0.0
41.0,492.0,50.0,50.0,,40.0,50.0,35.0,320.0,1.0,0.0
41.0,492.0,60.0,80.0,,50.0,80.0,45.0,425.0,1.0,0.0
65.0,26.0,60.0,,110.0,50.0,80.0,45.0,425.0,1.0,0.0
42.0,492.0,50.0,120.0,53.0,35.0,,87.0,455.0,1.0,0.0
42.0,492.0,50.0,105.0,,35.0,,76.0,455.0,,
115.0,,90.0,55.0,75.0,60.0,75.0,30.0,385.0,1.0,0.0
41.0,492.0,40.0,65.0,95.0,60.0,,35.0,340.0,,0.0
41.0,492.0,65.0,90.0,120.0,85.0,70.0,60.0,490.0,1.0,0.0
41.0,,65.0,90.0,120.0,85.0,70.0,60.0,490.0,,0.0
41.0,15.0,80.0,85.0,95.0,30.0,30.0,25.0,345.0,1.0,0.0
41.0,15.0,105.0,,120.0,45.0,,40.0,485.0,1.0,0.0
115.0,492.0,,5.0,5.0,35.0,105.0,50.0,450.0,1.0,0.0
91.0,492.0,65.0,55.0,115.0,100.0,40.0,60.0,,1.0,0.0
115.0,492.0,105.0,95.0,80.0,40.0,,90.0,490.0,1.0,0.0
115.0,,,125.0,100.0,60.0,100.0,100.0,590.0,1.0,
134.0,492.0,30.0,40.0,70.0,70.0,25.0,60.0,295.0,1.0,0.0
134.0,492.0,55.0,65.0,95.0,95.0,45.0,85.0,440.0,1.0,0.0
134.0,492.0,45.0,,60.0,35.0,50.0,63.0,320.0,1.0,0.0
134.0,492.0,80.0,92.0,,65.0,80.0,68.0,450.0,,0.0
134.0,492.0,30.0,45.0,55.0,,55.0,85.0,340.0,1.0,0.0
134.0,40.0,60.0,75.0,85.0,100.0,85.0,,520.0,1.0,0.0
81.0,41.0,40.0,,65.0,100.0,,90.0,460.0,1.0,0.0
81.0,20.0,50.0,65.0,65.0,90.0,90.0,100.0,460.0,1.0,0.0
81.0,112.0,70.0,110.0,80.0,55.0,80.0,105.0,500.0,,0.0
37.0,40.0,,50.0,35.0,115.0,95.0,95.0,455.0,1.0,0.0
62.0,492.0,65.0,83.0,57.0,95.0,85.0,105.0,490.0,1.0,0.0
65.0,492.0,65.0,,57.0,100.0,85.0,93.0,495.0,1.0,0.0
81.0,492.0,65.0,125.0,100.0,55.0,70.0,85.0,500.0,1.0,0.0
81.0,112.0,65.0,155.0,120.0,65.0,90.0,105.0,600.0,1.0,0.0
115.0,492.0,75.0,100.0,95.0,,70.0,110.0,490.0,1.0,0.0
134.0,492.0,20.0,,55.0,15.0,20.0,,200.0,1.0,0.0
134.0,112.0,95.0,125.0,79.0,60.0,100.0,,540.0,1.0,0.0
134.0,27.0,95.0,155.0,109.0,70.0,130.0,81.0,640.0,,0.0
134.0,20.0,130.0,,80.0,85.0,95.0,60.0,535.0,,
,492.0,48.0,48.0,48.0,48.0,48.0,48.0,288.0,1.0,0.0
115.0,492.0,55.0,55.0,,45.0,65.0,55.0,325.0,1.0,0.0
115.0,492.0,65.0,75.0,70.0,65.0,85.0,75.0,435.0,1.0,
134.0,492.0,130.0,65.0,60.0,110.0,95.0,65.0,525.0,1.0,0.0
62.0,492.0,65.0,,60.0,110.0,95.0,130.0,525.0,1.0,0.0
65.0,,65.0,130.0,60.0,95.0,110.0,65.0,525.0,1.0,0.0
,492.0,65.0,60.0,70.0,,75.0,,395.0,1.0,0.0
60.0,20.0,35.0,,100.0,90.0,55.0,35.0,355.0,1.0,0.0
60.0,20.0,70.0,60.0,125.0,115.0,70.0,,495.0,1.0,0.0
60.0,,30.0,80.0,,55.0,45.0,55.0,355.0,1.0,0.0
60.0,20.0,60.0,115.0,105.0,65.0,70.0,80.0,495.0,,0.0
60.0,112.0,,105.0,65.0,60.0,75.0,,515.0,1.0,0.0
,112.0,,135.0,85.0,70.0,,150.0,615.0,,0.0
115.0,492.0,160.0,110.0,65.0,65.0,110.0,30.0,,,
37.0,,90.0,85.0,100.0,95.0,125.0,85.0,580.0,1.0,1.0
81.0,112.0,90.0,85.0,85.0,125.0,100.0,95.0,580.0,1.0,1.0
62.0,112.0,90.0,90.0,,125.0,90.0,100.0,580.0,1.0,1.0
42.0,112.0,90.0,125.0,90.0,,90.0,100.0,580.0,1.0,1.0
65.0,112.0,90.0,100.0,90.0,125.0,85.0,90.0,,1.0,1.0
46.0,112.0,90.0,85.0,90.0,100.0,125.0,90.0,580.0,1.0,1.0
41.0,492.0,41.0,,45.0,50.0,50.0,50.0,300.0,1.0,
41.0,492.0,61.0,84.0,65.0,,70.0,70.0,420.0,1.0,0.0
,112.0,91.0,134.0,95.0,100.0,100.0,80.0,600.0,1.0,0.0
81.0,492.0,106.0,110.0,,154.0,90.0,130.0,680.0,1.0,1.0
81.0,32.0,106.0,,100.0,154.0,100.0,130.0,780.0,1.0,
,492.0,106.0,,70.0,194.0,120.0,140.0,780.0,1.0,1.0
81.0,492.0,100.0,100.0,100.0,100.0,100.0,100.0,600.0,1.0,1.0
91.0,492.0,,,65.0,,65.0,45.0,318.0,2.0,0.0
91.0,492.0,60.0,62.0,80.0,63.0,80.0,,405.0,2.0,0.0
91.0,492.0,80.0,,100.0,,100.0,80.0,525.0,2.0,0.0
65.0,492.0,39.0,52.0,43.0,60.0,,65.0,,2.0,0.0
,492.0,58.0,64.0,,80.0,65.0,80.0,405.0,,0.0
65.0,492.0,78.0,84.0,78.0,109.0,85.0,,,2.0,0.0
134.0,492.0,50.0,65.0,64.0,44.0,,43.0,314.0,,0.0
134.0,,65.0,80.0,80.0,59.0,63.0,58.0,405.0,2.0,0.0
134.0,492.0,85.0,,100.0,79.0,83.0,78.0,530.0,2.0,0.0
115.0,492.0,35.0,46.0,34.0,35.0,45.0,20.0,215.0,2.0,0.0
115.0,492.0,85.0,76.0,64.0,45.0,55.0,90.0,415.0,2.0,0.0
115.0,112.0,60.0,30.0,30.0,,56.0,50.0,262.0,2.0,0.0
115.0,112.0,100.0,50.0,50.0,86.0,96.0,70.0,452.0,2.0,0.0
,,40.0,20.0,30.0,40.0,80.0,55.0,,,0.0
81.0,112.0,55.0,35.0,50.0,55.0,110.0,85.0,390.0,,
81.0,38.0,40.0,60.0,40.0,40.0,40.0,30.0,250.0,2.0,0.0
81.0,38.0,70.0,90.0,70.0,60.0,70.0,,400.0,2.0,0.0
41.0,112.0,85.0,90.0,80.0,,80.0,130.0,535.0,2.0,0.0
,11.0,75.0,38.0,,56.0,56.0,67.0,330.0,2.0,0.0
134.0,11.0,125.0,58.0,58.0,76.0,76.0,67.0,460.0,2.0,0.0
62.0,,,,15.0,35.0,35.0,60.0,205.0,,0.0
22.0,492.0,50.0,25.0,28.0,45.0,55.0,15.0,218.0,2.0,0.0
115.0,41.0,90.0,30.0,15.0,40.0,20.0,15.0,210.0,2.0,
22.0,492.0,,,65.0,40.0,65.0,20.0,245.0,2.0,0.0
22.0,,55.0,40.0,,80.0,105.0,40.0,405.0,2.0,0.0
81.0,112.0,40.0,50.0,,70.0,45.0,70.0,320.0,2.0,0.0
81.0,112.0,65.0,75.0,70.0,95.0,70.0,95.0,470.0,2.0,0.0
62.0,492.0,55.0,40.0,40.0,65.0,45.0,35.0,280.0,2.0,0.0
62.0,492.0,70.0,55.0,55.0,80.0,60.0,45.0,365.0,2.0,0.0
62.0,492.0,90.0,75.0,85.0,115.0,90.0,55.0,,2.0,0.0
62.0,32.0,90.0,95.0,105.0,165.0,110.0,,610.0,2.0,0.0
91.0,492.0,75.0,80.0,95.0,90.0,100.0,,490.0,2.0,0.0
134.0,41.0,70.0,20.0,50.0,20.0,50.0,40.0,250.0,,0.0
,41.0,100.0,50.0,80.0,60.0,80.0,50.0,,,0.0
60.0,492.0,,100.0,115.0,,65.0,30.0,410.0,2.0,0.0
134.0,,90.0,75.0,,90.0,100.0,70.0,500.0,2.0,0.0
,112.0,35.0,35.0,40.0,35.0,55.0,50.0,250.0,2.0,0.0
,,55.0,45.0,50.0,45.0,65.0,80.0,340.0,2.0,0.0
91.0,112.0,75.0,,70.0,55.0,95.0,110.0,460.0,2.0,0.0
115.0,492.0,55.0,70.0,55.0,40.0,55.0,85.0,360.0,2.0,0.0
91.0,492.0,30.0,30.0,30.0,30.0,30.0,30.0,180.0,2.0,0.0
91.0,492.0,75.0,75.0,55.0,105.0,85.0,30.0,,2.0,0.0
81.0,112.0,65.0,65.0,45.0,75.0,45.0,95.0,390.0,2.0,0.0
134.0,39.0,,45.0,45.0,25.0,25.0,15.0,210.0,2.0,0.0
134.0,39.0,95.0,85.0,85.0,65.0,,35.0,430.0,2.0,0.0
81.0,492.0,65.0,65.0,60.0,130.0,95.0,110.0,525.0,2.0,0.0
46.0,492.0,95.0,65.0,110.0,60.0,130.0,65.0,525.0,2.0,
46.0,112.0,60.0,85.0,42.0,85.0,42.0,91.0,405.0,,0.0
,40.0,,75.0,80.0,100.0,110.0,30.0,490.0,,0.0
41.0,40.0,95.0,65.0,80.0,110.0,110.0,30.0,490.0,2.0,0.0
42.0,492.0,60.0,60.0,60.0,85.0,85.0,85.0,435.0,2.0,0.0
81.0,492.0,,,48.0,72.0,48.0,48.0,336.0,,0.0
,492.0,190.0,,58.0,33.0,58.0,33.0,405.0,2.0,0.0
115.0,40.0,70.0,80.0,65.0,,65.0,,455.0,2.0,0.0
81.0,492.0,50.0,65.0,90.0,35.0,35.0,15.0,290.0,2.0,0.0
81.0,35.0,75.0,90.0,140.0,60.0,60.0,,465.0,2.0,0.0
115.0,492.0,100.0,70.0,70.0,,65.0,45.0,,2.0,
41.0,,65.0,75.0,105.0,35.0,65.0,85.0,430.0,2.0,0.0
36.0,39.0,75.0,85.0,200.0,55.0,65.0,30.0,510.0,2.0,0.0
36.0,39.0,75.0,,230.0,55.0,95.0,30.0,610.0,2.0,0.0
22.0,492.0,60.0,80.0,50.0,40.0,40.0,30.0,300.0,2.0,0.0
22.0,492.0,90.0,120.0,75.0,60.0,60.0,45.0,,2.0,0.0
134.0,38.0,65.0,95.0,85.0,55.0,,85.0,440.0,2.0,0.0
